time,x,y,z
0,3.212265,-2.4558747,8.765511
3.540039,3.1165195,-1.7665064,8.870831
7.720947,2.8388572,-1.1824582,9.062322
12.145996,2.5420458,-0.83777404,9.167642
16.387939,2.2452345,-0.7994758,9.158067
20.935058,2.0633178,-0.8856468,9.158067
24.963379,1.948423,-1.0962871,9.119769
27.374267,1.929274,-1.3069274,9.18679
31.341553,2.0250196,-1.4409714,9.196365
35.308838,2.1207652,-1.5271424,9.253813
39.276123,2.1782124,-1.4888442,9.397431
43.395996,2.187787,-1.4122477,9.617646
47.210693,2.2165108,-1.2973529,9.837861
51.300049,2.168638,-1.2782038,9.952756
55.145263,2.2260852,-1.2494801,10.0868
59.112549,2.3026817,-1.2590547,10.0868
63.079834,2.3792782,-1.2973529,10.105948
67.41333,2.3984275,-1.2686293,10.144247
71.807861,2.3888528,-1.2303311,10.182545
75.683594,2.34098,-1.1250108,10.19212
79.284668,2.2643836,-0.98139244,10.105948
83.221435,2.2356598,-0.8664977,9.971905
86.914062,2.2069361,-0.8664977,9.799562
91.278076,2.2069361,-0.9526688,9.64637
95.214844,2.3026817,-1.1250108,9.454879
99.151611,2.34098,-1.3260766,9.234664
102.935791,2.4463003,-1.4984187,9.091045
107.269287,2.5420458,-1.6707608,8.870831
111.541748,2.6090677,-1.7282082,8.641041
115.386963,2.6569405,-1.7282082,8.535721
118.713379,2.6760898,-1.7377827,8.459125
122.650146,2.6952388,-1.776081,8.487848
126.647949,2.666515,-1.776081,8.4686985
131.378174,2.6569405,-1.776081,8.439975
135.040283,2.666515,-1.8143792,8.506997
138.85498,2.7239625,-1.8431029,8.506997
142.669678,2.733537,-1.9101248,8.564445
147.003174,2.7431116,-1.8909757,8.6697645
151.428222,2.7814097,-1.8718265,8.794233
155.36499,2.7718353,-1.8718265,8.909128
158.416748,2.7431116,-1.7856555,9.024023
162.811279,2.6952388,-1.6803354,9.100619
166.381836,2.6952388,-1.622888,9.158067
170.898437,2.6569405,-1.5654407,9.18679
174.957275,2.6090677,-1.5654407,9.158067
179.077148,2.6090677,-1.6324625,9.148493
182.983398,2.5994933,-1.7377827,9.062322
186.706543,2.5420458,-1.8048047,9.024023
190.39917,2.5516202,-1.862252,8.985725
194.854736,2.5707695,-1.8909757,8.947427
198.913574,2.5516202,-1.9101248,8.937852
202.728271,2.5899186,-1.9005502,8.966576
206.390381,2.5707695,-1.9101248,9.033598
210.693359,2.5899186,-1.9101248,9.004874
214.508056,2.561195,-1.8909757,9.071896
218.414306,2.561195,-1.8814012,9.110194
222.351074,2.5420458,-1.9005502,9.071896
226.593017,2.5228968,-1.9005502,9.110194
230.194092,2.494173,-1.8814012,9.2825365
234.802246,2.4367256,-1.8718265,9.435729
239.135742,2.4367256,-1.8239537,9.5889225
242.919922,2.3888528,-1.8239537,9.675094
246.673584,2.3697038,-1.7665064,9.675094
250.24414,2.3792782,-1.7186337,9.550624
254.79126,2.34098,-1.7856555,9.435729
258.69751,2.360129,-1.9005502,9.339984
262.634277,2.34098,-2.1111906,9.330409
266.876221,2.34098,-2.2356598,9.320834
270.629883,2.408002,-2.3026817,9.301685
274.688721,2.427151,-2.3792782,9.31126
277.557373,2.475024,-2.408002,9.272962
281.646728,2.4845984,-2.3888528,9.263388
286.560058,2.5037475,-2.321831,9.158067
290.527344,2.475024,-2.2452345,9.100619
295.043945,2.4463003,-2.2739582,9.138918
297.88208,2.4558747,-2.3888528,9.20594
301.757812,2.5228968,-2.34098,9.272962
305.541992,2.5707695,-2.168638,9.301685
309.356689,2.6760898,-1.8909757,9.397431
314.788818,2.7718353,-1.6324625,9.502751
318.786621,2.8292825,-1.3930986,9.560199
322.723388,2.9633265,-1.1537346,9.483603
326.416015,3.1069448,-1.0196906,9.493176
330.078125,3.2026904,-0.9622433,9.62722
334.472656,3.2697124,-0.9526688,9.809137
338.592529,3.2505634,-0.9526688,10.038927
342.559814,3.2505634,-0.99096704,10.000628
346.191406,3.2026904,-1.0484143,9.837861
349.79248,3.1356685,-1.2111819,9.62722
354.797363,2.88673,-1.4313968,9.426155
358.856201,2.6377914,-1.7473572,9.004874
362.670898,2.2931073,-1.79523,11.551707
366.333008,1.2399056,-0.8760723,10.737869
369.903564,0.8952214,-0.751603,10.259142
374.542236,1.622888,-2.1590633,7.6740103
378.417969,1.929274,-2.8963046,6.4197426
382.202148,1.4313968,-3.2026904,8.171887
385.681152,1.2399056,-2.733537,10.575102
389.404297,2.0824668,-1.5175679,11.178299
394.805908,3.7963133,1.3069274,9.876159
398.834228,3.7963133,1.3069274,9.876159
402.679443,3.2505634,1.4313968,9.569773
406.311035,2.6569405,0.30159867,9.196365
410.003662,2.561195,-1.3643749,8.497422
414.794922,2.7718353,-3.384607,7.5208173
418.85376,2.7718353,-3.384607,7.5208173
422.88208,2.8771553,-2.9920502,7.5303917
426.544189,2.8771553,-2.9920502,7.5303917
430.206299,2.9920502,-2.1973617,7.56869
434.47876,3.1452432,-1.5654407,7.6740103
437.286377,3.2792869,-1.1920328,7.7984796
441.223144,3.4229054,-1.2303311,8.00912
444.854736,3.5090764,-1.4792696,8.152739
448.669433,3.4612036,-1.8239537,8.305931
454.803467,3.059072,-2.0058703,8.621892
458.892822,2.8484318,-1.9196993,8.784659
462.768554,2.7718353,-1.8239537,8.870831
466.339111,2.800559,-1.6611862,8.937852
